中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,15 ms,960 Mbps,122880 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,60 ms,260 Mbps,33280 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,50 ms,445 Mbps,57036 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,49 ms,440 Mbps,56320 kB/s
129.153.203.62,443,129.153.203.62,US,Los Angeles,中转,50 ms,422 Mbps,54067 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,196 Mbps,25088 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,49 ms,469 Mbps,60108 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,192 Mbps,24678 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,54 ms,428 Mbps,54886 kB/s
47.88.24.237,443,47.88.24.237,US,San Jose,中转,49 ms,9 Mbps,1198 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,101 ms,196 Mbps,25088 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,101 ms,127 Mbps,16281 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,57 ms,618 Mbps,79155 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,57 ms,55 Mbps,7059 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,52 ms,295 Mbps,37785 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,77 ms,5 Mbps,717 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,55 ms,480 Mbps,61542 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,53 ms,4 Mbps,606 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,19 ms,79 Mbps,10137 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,110 ms,458 Mbps,58675 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,368 Mbps,47104 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,47 ms,401 Mbps,51404 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,108 ms,448 Mbps,57446 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,197 Mbps,25292 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,164 ms,96 Mbps,12390 kB/s
130.61.194.232,443,2a0b:21c0:1007:ca:0:53b4:792:c121,DE,Frankfurt,隧道,110 ms,128 Mbps,16486 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,112 ms,158 Mbps,20275 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,109 ms,159 Mbps,20377 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,113 ms,40 Mbps,5144 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,70 ms,47 Mbps,6029 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,73 ms,345 Mbps,44236 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,141 ms,112 Mbps,14438 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,69 ms,161 Mbps,20684 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26a:57,US,Los Angeles,隧道,85 ms,71 Mbps,9138 kB/s
141.147.62.76,443,98.98.156.18,DE,Frankfurt,隧道,111 ms,192 Mbps,24678 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,40 Mbps,5140 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,166 ms,44 Mbps,5700 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,52 ms,37 Mbps,4860 kB/s
193.122.125.223,443,193.122.125.223,KR,Seoul,中转,192 ms,78 Mbps,10035 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,188 Mbps,24166 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,105 ms,183 Mbps,23449 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,49 ms,1 Mbps,225 kB/s
143.47.236.134,443,2a0b:21c0:100a:1b5:0:cd05:5699:a3f2,DE,Frankfurt,隧道,109 ms,103 Mbps,13209 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,130 ms,452 Mbps,57958 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,97 ms,48 Mbps,6221 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,205 ms,37 Mbps,4839 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,183 ms,96 Mbps,12390 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,117 ms,36 Mbps,4639 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,208 ms,2 Mbps,331 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,110 ms,83 Mbps,10649 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,101 ms,45 Mbps,5835 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,164 ms,107 Mbps,13721 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,206 ms,38 Mbps,4956 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,261 ms,439 Mbps,56217 kB/s
138.2.151.140,443,2606:f240:f00:6acf:0:5b19:551f:c877,US,Frankfurt,隧道,109 ms,162 Mbps,20787 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,200 ms,88 Mbps,11264 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,166 ms,36 Mbps,4718 kB/s
8.219.69.119,443,8.222.222.65,SG,Singapore,隧道,249 ms,46 Mbps,6009 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,237 ms,1 Mbps,254 kB/s
8.219.192.235,443,47.236.58.234,SG,Singapore,隧道,251 ms,55 Mbps,7048 kB/s
8.219.182.251,443,47.236.58.234,SG,Singapore,隧道,251 ms,56 Mbps,7273 kB/s
8.222.183.54,443,8.222.207.55,SG,Singapore,隧道,249 ms,50 Mbps,6439 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,125 ms,47 Mbps,6128 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,239 ms,32 Mbps,4193 kB/s
141.144.198.32,443,2606:f240:f00:dd8d:0:7755:fdc7:84d4,US,Frankfurt,隧道,229 ms,192 Mbps,24576 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,217 ms,71 Mbps,9179 kB/s
155.248.187.211,443,155.248.187.211,JP,Tokyo,中转,212 ms,37 Mbps,4737 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,203 ms,41 Mbps,5269 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:11b,KR,Seoul,隧道,191 ms,80 Mbps,10240 kB/s
158.101.206.181,443,2a0b:21c0:1007:1c8:0:3b56:e484:e5c4,DE,Frankfurt,隧道,108 ms,183 Mbps,23449 kB/s
132.226.233.85,443,132.226.233.85,KR,Seoul,中转,324 ms,38 Mbps,4961 kB/s
141.147.187.233,443,141.147.187.233,JP,Tokyo,中转,216 ms,60 Mbps,7757 kB/s
193.123.235.59,443,193.123.235.59,KR,Seoul,中转,191 ms,79 Mbps,10137 kB/s
47.245.108.186,443,8.222.222.65,SG,Singapore,隧道,249 ms,41 Mbps,5314 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,212 ms,62 Mbps,7954 kB/s
152.67.102.137,443,152.67.102.137,AU,Sydney,中转,186 ms,26 Mbps,3347 kB/s
138.2.66.92,443,138.2.66.92,SG,Singapore,中转,206 ms,75 Mbps,9719 kB/s
158.178.238.239,443,158.178.238.239,SG,Singapore,中转,203 ms,30 Mbps,3854 kB/s
8.222.209.16,443,8.219.142.198,SG,Singapore,隧道,251 ms,52 Mbps,6688 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,204 ms,74 Mbps,9559 kB/s
47.245.120.128,443,8.222.236.107,SG,Singapore,隧道,252 ms,53 Mbps,6893 kB/s
8.222.202.155,443,47.236.58.234,SG,Singapore,隧道,251 ms,51 Mbps,6579 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,372 ms,101 Mbps,13004 kB/s
8.222.252.47,443,8.219.142.198,SG,Singapore,隧道,248 ms,53 Mbps,6818 kB/s
8.222.236.187,443,8.222.222.65,SG,Singapore,隧道,251 ms,48 Mbps,6190 kB/s
8.219.253.94,443,47.245.125.52,SG,Singapore,隧道,249 ms,48 Mbps,6233 kB/s
8.219.234.250,443,8.222.222.65,SG,Singapore,隧道,251 ms,48 Mbps,6211 kB/s
193.123.81.105,443,193.123.81.105,AE,Marseille,中转,297 ms,52 Mbps,6658 kB/s
8.219.204.8,443,8.219.96.61,SG,Singapore,隧道,251 ms,47 Mbps,6091 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,196 ms,1 Mbps,150 kB/s
193.122.101.195,443,193.122.101.195,KR,Seoul,中转,193 ms,80 Mbps,10342 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,49 ms,381 Mbps,48844 kB/s
158.101.151.41,443,158.101.151.41,JP,Tokyo,中转,213 ms,40 Mbps,5179 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,93 ms,264 Mbps,33792 kB/s
47.254.17.234,443,47.254.17.234,US,San Jose,中转,57 ms,43 Mbps,5613 kB/s
8.213.217.254,443,8.213.217.254,TH,Singapore,中转,245 ms,51 Mbps,6605 kB/s
8.219.126.247,443,8.222.220.238,SG,Singapore,隧道,251 ms,19 Mbps,2551 kB/s
129.159.221.169,443,2606:f240:f00:2be4:0:d900:35b1:c03f,US,Frankfurt,隧道,110 ms,184 Mbps,23654 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,255 ms,69 Mbps,8899 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,69 ms,66 Mbps,8503 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,209 ms,41 Mbps,5363 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,192 ms,54 Mbps,7033 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,14 ms,56 Mbps,7170 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,50 ms,46 Mbps,5968 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,101 ms,172 Mbps,22118 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,51 ms,38 Mbps,4975 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,103 ms,48 Mbps,6239 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,176 ms,23 Mbps,2964 kB/s
141.147.154.214,443,141.147.154.214,JP,Osaka,中转,193 ms,34 Mbps,4370 kB/s
8.219.77.151,443,47.236.58.234,SG,Singapore,隧道,252 ms,44 Mbps,5676 kB/s
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,214 ms,37 Mbps,4765 kB/s
140.83.61.244,443,140.83.61.244,JP,Seattle,中转,282 ms,33 Mbps,4340 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,218 ms,71 Mbps,9152 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,165 ms,38 Mbps,4978 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,212 ms,33 Mbps,4294 kB/s
193.123.60.6,443,2a0b:21c0:1007:c7:0:b367:53cc:8365,DE,Frankfurt,隧道,108 ms,134 Mbps,17203 kB/s
132.226.31.178,443,2a09:bac1:76a0:e18::c:3a9,US,Los Angeles,隧道,55 ms,42 Mbps,5445 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,65 ms,444 Mbps,56832 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,80 ms,61 Mbps,7871 kB/s
8.222.220.252,443,8.222.210.246,SG,Singapore,隧道,249 ms,52 Mbps,6749 kB/s
143.47.232.133,443,2a0b:21c0:1007:1ca:0:90db:da01:abda,DE,Frankfurt,隧道,110 ms,188 Mbps,24064 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,224 ms,79 Mbps,10137 kB/s
8.212.48.236,443,47.76.21.95,HK,Hong Kong,隧道,192 ms,75 Mbps,9678 kB/s
152.70.240.184,443,128.14.110.204,SG,Singapore,隧道,338 ms,46 Mbps,6015 kB/s
47.245.106.140,443,47.236.1.53,SG,Singapore,隧道,248 ms,36 Mbps,4630 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,190 ms,26 Mbps,3379 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,141 ms,1 Mbps,147 kB/s
168.138.163.40,443,138.2.105.12,SG,Singapore,隧道,230 ms,67 Mbps,8630 kB/s
47.253.223.200,443,47.253.223.200,US,Ashburn,中转,65 ms,38 Mbps,4931 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,300 ms,39 Mbps,5086 kB/s
141.147.40.199,443,2a0b:21c0:1007:1c7:0:7c2a:d9fa:165a,DE,Frankfurt,隧道,110 ms,174 Mbps,22323 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,214 ms,60 Mbps,7682 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,186 ms,45 Mbps,5813 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,114 ms,400 Mbps,51200 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,72 ms,339 Mbps,43417 kB/s
8.222.202.34,443,8.222.222.65,SG,Singapore,隧道,248 ms,55 Mbps,7107 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,194 ms,6 Mbps,862 kB/s
143.47.176.251,443,2606:f240:f00:83a7:0:6253:4814:9f20,US,Frankfurt,隧道,113 ms,187 Mbps,23961 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,66 ms,69 Mbps,8926 kB/s
192.9.158.188,443,2a09:bac5:6447:1232::1d0:cc,US,San Jose,隧道,183 ms,148 Mbps,18944 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,190 ms,15 Mbps,1932 kB/s
130.61.39.13,443,2603:c020:801c:9969:5536:e049:b1aa:bdf2,DE,Frankfurt,隧道,113 ms,188 Mbps,24166 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,116 ms,172 Mbps,22016 kB/s
144.22.252.124,443,144.22.252.124,BR,S
