中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,16 ms,816 Mbps,104448 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,4 ms,74 Mbps,9504 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,20 ms,1592 Mbps,203776 kB/s
35.230.79.26,443,35.212.209.68,US,Seattle,隧道,68 ms,352 Mbps,45056 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,4 ms,1632 Mbps,208896 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,2 ms,69 Mbps,8890 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,260 Mbps,33280 kB/s
35.197.23.75,443,35.212.209.68,US,Seattle,隧道,68 ms,180 Mbps,23142 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,88 ms,248 Mbps,31744 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,96 ms,259 Mbps,33177 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,70 ms,221 Mbps,28364 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,259 Mbps,33177 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,96 ms,292 Mbps,37376 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,84 ms,342 Mbps,43827 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,74 ms,336 Mbps,43008 kB/s
152.70.155.147,443,152.70.155.147,US,San Jose,中转,81 ms,12 Mbps,1591 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,74 ms,340 Mbps,43520 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,92 ms,47 Mbps,6035 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,102 ms,46 Mbps,6001 kB/s
158.101.201.244,443,2a0b:21c0:1007:1ca:0:5426:bc95:ce55,DE,Frankfurt,隧道,91 ms,257 Mbps,32972 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,93 ms,48 Mbps,6149 kB/s
143.47.176.251,443,2a0b:21c0:100a:1b4:0:b6bc:f741:1fa7,DE,Frankfurt,隧道,101 ms,108 Mbps,13926 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,94 ms,307 Mbps,39321 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,108 ms,46 Mbps,5911 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,178 ms,139 Mbps,17817 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,120 ms,45 Mbps,5814 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,102 ms,41 Mbps,5339 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,75 ms,37 Mbps,4836 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,182 ms,29 Mbps,3729 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,169 ms,17 Mbps,2183 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,177 ms,1 Mbps,157 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,184 ms,114 Mbps,14643 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,202 ms,92 Mbps,11878 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,202 ms,109 Mbps,14028 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,236 ms,2 Mbps,280 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,238 ms,38 Mbps,4896 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,234 ms,34 Mbps,4439 kB/s
130.162.144.191,443,2a09:bac1:3f60::20b:78,KR,Seoul,隧道,210 ms,32 Mbps,4202 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,211 ms,77 Mbps,9922 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,217 ms,35 Mbps,4501 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,246 ms,36 Mbps,4627 kB/s
129.154.214.199,443,2607:a400:a:6c:0:9726:e22e:8c0b,US,Phoenix,隧道,251 ms,60 Mbps,7800 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,223 ms,3 Mbps,449 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,221 ms,2 Mbps,275 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,194 ms,34 Mbps,4415 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,207 ms,9 Mbps,1267 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,340 ms,0 Mbps,13 kB/s
