中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,3 ms,569 Mbps,72908 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,3 ms,944 Mbps,120832 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,21 ms,816 Mbps,104448 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,22 ms,430 Mbps,55091 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,3 ms,733 Mbps,93900 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,23 ms,824 Mbps,105472 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,77 ms,238 Mbps,30515 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,24 ms,654 Mbps,83763 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,21 ms,607 Mbps,77721 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,112 ms,43 Mbps,5614 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,84 ms,204 Mbps,26112 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,74 ms,47 Mbps,6057 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,69 ms,272 Mbps,34918 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,163 ms,41 Mbps,5255 kB/s
3.112.21.102,443,3.112.21.102,JP,Osaka,中转,109 ms,203 Mbps,26009 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,148 ms,4 Mbps,531 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,115 ms,41 Mbps,5329 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,154 ms,39 Mbps,5033 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,158 ms,107 Mbps,13721 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,117 ms,34 Mbps,4467 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,178 ms,33 Mbps,4267 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,138 ms,31 Mbps,4042 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,162 ms,108 Mbps,13824 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,162 ms,39 Mbps,5089 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,168 ms,117 Mbps,15052 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,153 ms,39 Mbps,5018 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,202 ms,0 Mbps,38 kB/s
64.110.75.145,443,64.110.75.145,KR,Seattle,中转,154 ms,59 Mbps,7618 kB/s
