中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,634 Mbps,81203 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,864 Mbps,110592 kB/s
184.169.181.217,443,184.169.181.217,US,Seattle,中转,13 ms,1056 Mbps,135168 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,17 ms,426 Mbps,54579 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,5 ms,656 Mbps,83968 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,30 ms,627 Mbps,80281 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,24 ms,912 Mbps,116736 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,23 ms,872 Mbps,111616 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,61 ms,413 Mbps,52940 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,71 ms,44 Mbps,5704 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,112 ms,50 Mbps,6427 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,220 Mbps,28160 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,119 ms,46 Mbps,5901 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,135 ms,17 Mbps,2220 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,144 ms,0 Mbps,117 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,156 ms,140 Mbps,17920 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,151 ms,45 Mbps,5832 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,169 ms,42 Mbps,5486 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,176 ms,97 Mbps,12492 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,155 ms,44 Mbps,5723 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,155 ms,42 Mbps,5417 kB/s
152.70.89.238,443,2602:ffe4:407:21d9:0:9845:f2ac:7b83,SG,Singapore,隧道,206 ms,71 Mbps,9178 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,163 ms,46 Mbps,5948 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,159 ms,0 Mbps,73 kB/s
168.138.216.146,443,2602:ffe4:407:21d9:0:7023:874c:9f2e,SG,Singapore,隧道,432 ms,2 Mbps,306 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,159 ms,1 Mbps,218 kB/s
