中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,334 Mbps,42803 kB/s
129.146.7.98,443,2a09:bac5:60eb:1173::1bd:ea,US,Los Angeles,隧道,17 ms,90 Mbps,11571 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,71 ms,64 Mbps,8231 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,31 ms,88 Mbps,11366 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,19 ms,652 Mbps,83558 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,58 ms,426 Mbps,54579 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,38 ms,522 Mbps,66867 kB/s
141.144.199.182,443,2a0b:21c0:100a:1b1:0:8c88:141d:b8de,DE,Frankfurt,隧道,140 ms,122 Mbps,15667 kB/s
129.146.168.102,443,104.28.205.111,US,Los Angeles,隧道,41 ms,51 Mbps,6627 kB/s
47.88.24.237,443,47.88.24.237,US,San Jose,中转,18 ms,8 Mbps,1090 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,38 ms,564 Mbps,72192 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,57 ms,14 Mbps,1878 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,194 Mbps,24883 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,46 ms,1144 Mbps,146432 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,40 ms,538 Mbps,68915 kB/s
192.9.138.241,443,192.9.138.241,,colo.txt:San Jose,中转,0 ms,1016 Mbps,130048 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,50 ms,562 Mbps,71987 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,57 ms,278 Mbps,35635 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,144 ms,134 Mbps,17203 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,53 ms,48 Mbps,6178 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,96 ms,1 Mbps,209 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,141 ms,44 Mbps,5728 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,137 ms,43 Mbps,5519 kB/s
132.226.31.178,443,2a09:bac5:60ec:78::c:3a4,US,Los Angeles,隧道,56 ms,57 Mbps,7304 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,143 ms,122 Mbps,15667 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,156 ms,41 Mbps,5267 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,55 ms,358 Mbps,45875 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,145 ms,123 Mbps,15769 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,155 ms,36 Mbps,4609 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,145 ms,124 Mbps,15872 kB/s
8.219.199.74,443,8.219.96.61,SG,Singapore,隧道,175 ms,84 Mbps,10752 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,144 ms,134 Mbps,17203 kB/s
8.219.69.96,443,8.222.236.107,SG,Singapore,隧道,176 ms,93 Mbps,11980 kB/s
144.22.252.124,443,144.22.252.124,BR,S
