中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,97 ms,266 Mbps,34099 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,86 ms,364 Mbps,46694 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,39 ms,572 Mbps,73318 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,10 ms,816 Mbps,104448 kB/s
35.197.23.75,443,35.212.201.5,US,Seattle,隧道,88 ms,347 Mbps,44441 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,26 ms,479 Mbps,61337 kB/s
35.230.79.26,443,35.212.201.5,US,Seattle,隧道,90 ms,352 Mbps,45056 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,21 ms,18 Mbps,2371 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,276 Mbps,35430 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,70 ms,290 Mbps,37171 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,248 Mbps,31744 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,91 ms,43 Mbps,5529 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,102 ms,338 Mbps,43315 kB/s
47.90.141.204,443,91.149.239.234,US,Los Angeles,隧道,36 ms,15 Mbps,1984 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,22 ms,56 Mbps,7174 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,90 ms,220 Mbps,28160 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,89 ms,272 Mbps,34816 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,82 ms,311 Mbps,39833 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,95 ms,50 Mbps,6437 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,114 ms,49 Mbps,6398 kB/s
129.146.16.219,443,129.146.16.219,US,Dallas,中转,60 ms,50 Mbps,6503 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,77 ms,310 Mbps,39731 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,66 ms,301 Mbps,38604 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,74 ms,321 Mbps,41164 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,74 ms,244 Mbps,31334 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,99 ms,43 Mbps,5535 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,110 ms,217 Mbps,27852 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,175 ms,116 Mbps,14848 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,98 ms,88 Mbps,11264 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,78 ms,275 Mbps,35225 kB/s
141.144.199.182,443,2a0b:21c0:100a:1b3:0:ec89:1c0c:e10a,DE,Frankfurt,隧道,104 ms,202 Mbps,25907 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,113 ms,44 Mbps,5730 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,93 ms,51 Mbps,6592 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,104 ms,271 Mbps,34713 kB/s
193.123.37.219,443,2a0b:21c0:100a:1b2:0:8c9e:bd4e:3d0b,DE,Frankfurt,隧道,101 ms,231 Mbps,29593 kB/s
168.138.149.17,443,168.138.149.17,BR,S
