中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,16 ms,6 Mbps,802 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,880 Mbps,112640 kB/s
35.230.79.26,443,35.212.238.81,US,Seattle,隧道,58 ms,492 Mbps,63078 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,50 ms,546 Mbps,69939 kB/s
129.146.46.164,443,129.146.46.164,,Los Angeles,中转,0 ms,319 Mbps,40857 kB/s
35.197.23.75,443,35.212.238.81,US,Seattle,隧道,52 ms,269 Mbps,34508 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,403 Mbps,51609 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,486 Mbps,62259 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,50 ms,540 Mbps,69222 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,52 ms,479 Mbps,61337 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,58 ms,553 Mbps,70860 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,107 ms,45 Mbps,5823 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,114 ms,198 Mbps,25395 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,122 ms,220 Mbps,28160 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,110 ms,183 Mbps,23449 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,143 ms,40 Mbps,5203 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,162 ms,37 Mbps,4862 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,156 ms,39 Mbps,5089 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,149 Mbps,19148 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,112 ms,46 Mbps,6010 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,199 ms,42 Mbps,5460 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,213 ms,65 Mbps,8429 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,214 ms,6 Mbps,849 kB/s
