中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,16 ms,30 Mbps,3923 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,51 ms,624 Mbps,79974 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,26 ms,612 Mbps,78336 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,99 ms,36 Mbps,4712 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,98 ms,282 Mbps,36147 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,32 ms,5 Mbps,697 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,79 ms,349 Mbps,44748 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,25 ms,156 Mbps,19968 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,118 ms,225 Mbps,28876 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,88 ms,332 Mbps,42496 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,111 ms,204 Mbps,26214 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,76 ms,406 Mbps,52019 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,3 ms,77 Mbps,9932 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,98 ms,292 Mbps,37376 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,113 ms,252 Mbps,32256 kB/s
144.22.252.124,443,144.22.252.124,BR,S
