中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,29 ms,681 Mbps,87244 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,4 ms,808 Mbps,103424 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,14 ms,1048 Mbps,134144 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,28 ms,912 Mbps,116736 kB/s
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,28 ms,791 Mbps,101273 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,23 ms,668 Mbps,85606 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,9 ms,1744 Mbps,223232 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,5 ms,1512 Mbps,193536 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,63 ms,404 Mbps,51712 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,70 ms,5 Mbps,759 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,264 Mbps,33792 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,114 ms,51 Mbps,6548 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,112 ms,51 Mbps,6627 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,138 ms,47 Mbps,6080 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,112 ms,50 Mbps,6402 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,151 ms,47 Mbps,6034 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,146 ms,48 Mbps,6237 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,162 ms,128 Mbps,16486 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,155 ms,135 Mbps,17305 kB/s
152.70.56.11,443,163.123.193.3,DE,Frankfurt,隧道,169 ms,124 Mbps,15974 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,166 ms,152 Mbps,19558 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,157 ms,45 Mbps,5845 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,149 ms,36 Mbps,4731 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,181 ms,43 Mbps,5605 kB/s
