中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,4 ms,30 Mbps,3865 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,23 ms,976 Mbps,124928 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,2 ms,624 Mbps,79974 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,880 Mbps,112640 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,26 ms,451 Mbps,57753 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,34 ms,329 Mbps,42188 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,21 ms,653 Mbps,83660 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,39 ms,816 Mbps,104448 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,539 Mbps,69017 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,63 ms,320 Mbps,41062 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,71 ms,256 Mbps,32768 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,72 ms,264 Mbps,33792 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,106 ms,2 Mbps,333 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,233 Mbps,29900 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,133 ms,18 Mbps,2416 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,116 ms,44 Mbps,5669 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,157 ms,144 Mbps,18534 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,131 ms,159 Mbps,20377 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,153 ms,40 Mbps,5129 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,160 ms,144 Mbps,18534 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,166 ms,121 Mbps,15564 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,157 ms,42 Mbps,5394 kB/s
143.47.252.60,443,98.98.166.174,DE,Frankfurt,隧道,173 ms,125 Mbps,16076 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,162 ms,119 Mbps,15257 kB/s
158.101.201.244,443,2a0b:21c0:1007:1c8:0:638:137b:4b65,DE,Frankfurt,隧道,168 ms,121 Mbps,15564 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,175 ms,36 Mbps,4634 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,158 ms,41 Mbps,5356 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,167 ms,43 Mbps,5546 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,184 ms,3 Mbps,458 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,138 ms,6 Mbps,811 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,153 ms,1 Mbps,133 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,155 ms,0 Mbps,6 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,267 ms,0 Mbps,21 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,1231 ms,6 Mbps,839 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,78 ms,39 Mbps,5086 kB/s
