中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
141.147.187.233,443,141.147.187.233,JP,Tokyo,中转,214 ms,66 Mbps,8517 kB/s
8.219.114.228,443,47.245.125.52,SG,Singapore,隧道,250 ms,51 Mbps,6644 kB/s
130.162.144.191,443,2a09:bac1:3f40:90::299:f,KR,Seoul,隧道,191 ms,35 Mbps,4595 kB/s
8.219.206.191,443,47.236.1.53,SG,Singapore,隧道,251 ms,48 Mbps,6203 kB/s
8.219.4.128,443,8.219.96.61,SG,Singapore,隧道,251 ms,52 Mbps,6658 kB/s
8.219.108.146,443,8.219.96.61,SG,Singapore,隧道,251 ms,53 Mbps,6860 kB/s
140.238.33.161,443,2603:c021:8002:900:4858:eede:fd8a:dd52,JP,Tokyo,隧道,217 ms,62 Mbps,8018 kB/s
138.3.210.24,443,2603:c021:800d:a344:0:1::,JP,Tokyo,隧道,219 ms,63 Mbps,8169 kB/s
8.222.160.168,443,47.245.125.52,SG,Singapore,隧道,248 ms,53 Mbps,6835 kB/s
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,215 ms,33 Mbps,4327 kB/s
8.220.204.23,443,8.220.204.23,KR,Seoul,中转,225 ms,89 Mbps,11468 kB/s
8.219.110.250,443,8.222.210.246,SG,Singapore,隧道,249 ms,46 Mbps,5979 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,226 ms,31 Mbps,3968 kB/s
8.219.244.63,443,8.222.210.246,SG,Singapore,隧道,248 ms,46 Mbps,5983 kB/s
8.219.136.194,443,8.222.210.246,SG,Singapore,隧道,254 ms,34 Mbps,4475 kB/s
8.219.64.190,443,47.236.58.234,SG,Singapore,隧道,251 ms,42 Mbps,5430 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,217 ms,67 Mbps,8695 kB/s
8.219.230.203,443,8.219.96.61,SG,Singapore,隧道,251 ms,52 Mbps,6722 kB/s
8.219.49.204,443,8.219.142.198,SG,Singapore,隧道,344 ms,54 Mbps,6927 kB/s
8.219.7.70,443,8.222.222.65,SG,Singapore,隧道,251 ms,51 Mbps,6643 kB/s
140.238.5.32,443,140.238.5.32,KR,Seoul,中转,191 ms,32 Mbps,4132 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,193 ms,68 Mbps,8752 kB/s
8.219.128.66,443,47.236.58.234,SG,Singapore,隧道,250 ms,54 Mbps,6923 kB/s
131.186.62.248,443,131.186.62.248,JP,Tokyo,中转,343 ms,70 Mbps,9025 kB/s
193.123.235.59,443,193.123.235.59,KR,Seoul,中转,191 ms,80 Mbps,10240 kB/s
8.212.48.236,443,47.76.21.97,HK,Hong Kong,隧道,214 ms,72 Mbps,9274 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,109 ms,46 Mbps,5940 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,163 ms,39 Mbps,5109 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,237 ms,101 Mbps,13004 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,36 ms,7 Mbps,932 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,101 ms,180 Mbps,23142 kB/s
132.226.31.178,443,2a09:bac5:60ed:183c::26a:94,US,Los Angeles,隧道,50 ms,46 Mbps,5908 kB/s
8.222.241.185,443,47.236.51.143,SG,Singapore,隧道,251 ms,45 Mbps,5834 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,50 ms,51 Mbps,6618 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,37 ms,66 Mbps,8573 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,221 ms,40 Mbps,5141 kB/s
150.230.122.76,443,150.230.122.76,GB,London,中转,98 ms,207 Mbps,26521 kB/s
193.122.101.195,443,193.122.101.195,KR,Seoul,中转,191 ms,86 Mbps,11059 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,101 ms,40 Mbps,5121 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,104 ms,191 Mbps,24473 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,145 ms,1 Mbps,167 kB/s
47.88.24.237,443,47.88.24.237,US,San Jose,中转,52 ms,7 Mbps,991 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,165 ms,41 Mbps,5350 kB/s
144.21.52.119,443,2a0b:21c0:100a:1b5:0:6177:e3ef:821e,DE,Frankfurt,隧道,108 ms,105 Mbps,13516 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,196 ms,172 Mbps,22118 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,191 ms,39 Mbps,5022 kB/s
144.22.252.124,443,144.22.252.124,BR,S
