中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,10 ms,3 Mbps,452 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,716 Mbps,91750 kB/s
129.146.46.164,443,129.146.46.164,,Los Angeles,中转,0 ms,276 Mbps,35430 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,58 ms,321 Mbps,41164 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,68 ms,363 Mbps,46489 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,61 ms,449 Mbps,57548 kB/s
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,71 ms,207 Mbps,26521 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,89 ms,276 Mbps,35328 kB/s
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,71 ms,343 Mbps,43929 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,229 Mbps,29388 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,312 Mbps,40038 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,89 ms,224 Mbps,28774 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,102 ms,43 Mbps,5531 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,264 Mbps,33894 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,93 ms,45 Mbps,5866 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,94 ms,42 Mbps,5443 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,127 Mbps,16281 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,171 ms,42 Mbps,5435 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,170 ms,45 Mbps,5877 kB/s
193.123.164.128,443,152.70.104.125,JP,Tokyo,隧道,169 ms,112 Mbps,14336 kB/s
130.162.145.204,443,161.118.130.45,KR,Seoul,隧道,201 ms,81 Mbps,10444 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,219 ms,38 Mbps,4922 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,246 ms,48 Mbps,6149 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,212 ms,80 Mbps,10342 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,206 ms,33 Mbps,4284 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,1251 ms,16 Mbps,2102 kB/s
