中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
47.253.223.200,443,47.253.223.200,US,Ashburn,中转,24 ms,30 Mbps,3964 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,52 ms,23 Mbps,2972 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,175 Mbps,22425 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,41 ms,550 Mbps,70451 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,376 Mbps,48230 kB/s
35.230.79.26,443,34.168.0.3,US,Seattle,隧道,48 ms,456 Mbps,58470 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,47 ms,1040 Mbps,133120 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,54 ms,57 Mbps,7398 kB/s
132.226.31.178,443,104.28.205.110,US,Los Angeles,隧道,53 ms,42 Mbps,5443 kB/s
35.197.23.75,443,34.168.0.3,US,Seattle,隧道,50 ms,421 Mbps,53964 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,416 Mbps,53248 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,16 ms,603 Mbps,77209 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,55 ms,428 Mbps,54886 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,111 ms,153 Mbps,19660 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,59 ms,156 Mbps,19968 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,51 ms,425 Mbps,54476 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,45 ms,691 Mbps,88473 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,249 Mbps,31948 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,111 ms,164 Mbps,20992 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,105 ms,64 Mbps,8242 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,51 ms,416 Mbps,53350 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,59 ms,47 Mbps,6130 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,59 ms,303 Mbps,38809 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,109 ms,169 Mbps,21708 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,145 ms,125 Mbps,16076 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,52 ms,7 Mbps,992 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,102 ms,162 Mbps,20787 kB/s
47.253.206.29,443,47.253.206.29,US,Ashburn,中转,53 ms,49 Mbps,6386 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,183 ms,179 Mbps,22937 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,169 ms,90 Mbps,11571 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,104 ms,36 Mbps,4726 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,146 ms,43 Mbps,5560 kB/s
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,68 ms,32 Mbps,4148 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,40 Mbps,5200 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,102 ms,16 Mbps,2075 kB/s
141.147.116.17,443,98.98.166.178,US,Frankfurt,隧道,113 ms,156 Mbps,19968 kB/s
143.47.185.89,443,2a0b:21c0:1007:1cb:0:7167:86be:6daa,DE,Frankfurt,隧道,111 ms,180 Mbps,23142 kB/s
138.2.129.97,443,2a0b:21c0:100a:1fa:0:54b:c149:1341,DE,Frankfurt,隧道,111 ms,172 Mbps,22016 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,194 Mbps,24883 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,208 ms,2 Mbps,324 kB/s
141.148.244.77,443,2a0b:21c0:1007:1c7:0:a0b5:f803:217d,DE,Frankfurt,隧道,124 ms,155 Mbps,19865 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,117 ms,41 Mbps,5291 kB/s
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,169 ms,76 Mbps,9816 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,90 ms,454 Mbps,58163 kB/s
138.2.147.19,443,2a0b:21c0:1007:c8:0:beb0:f373:f47e,DE,Frankfurt,隧道,192 ms,183 Mbps,23449 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,167 ms,40 Mbps,5205 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,65 ms,274 Mbps,35123 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,191 ms,71 Mbps,9137 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,169 ms,38 Mbps,4902 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,194 ms,36 Mbps,4614 kB/s
193.122.96.179,443,2607:a400:a:6c:0:d693:fd52:558d,US,Los Angeles,隧道,210 ms,66 Mbps,8482 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,53 ms,438 Mbps,56115 kB/s
141.147.40.199,443,2a0b:21c0:1007:1c7:0:7c2a:d9fa:165a,DE,Frankfurt,隧道,113 ms,163 Mbps,20889 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,237 ms,90 Mbps,11571 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,189 ms,7 Mbps,1003 kB/s
129.154.193.172,443,107.151.176.66,US,Los Angeles,隧道,207 ms,63 Mbps,8161 kB/s
