中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,2 ms,1496 Mbps,191488 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,2 ms,55 Mbps,7045 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,13 ms,790 Mbps,101171 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,409 Mbps,52428 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,17 ms,401 Mbps,51404 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,71 ms,284 Mbps,36352 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,82 ms,268 Mbps,34304 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,287 Mbps,36761 kB/s
35.230.79.26,443,35.212.158.32,US,Seattle,隧道,67 ms,375 Mbps,48025 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,242 Mbps,31027 kB/s
35.197.23.75,443,35.212.158.32,US,Seattle,隧道,65 ms,272 Mbps,34918 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,105 ms,223 Mbps,28569 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,72 ms,142 Mbps,18227 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,88 ms,46 Mbps,5943 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,99 ms,249 Mbps,31948 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,224 Mbps,28672 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,94 ms,47 Mbps,6082 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,94 ms,45 Mbps,5862 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,94 ms,44 Mbps,5703 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,177 ms,37 Mbps,4794 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,175 ms,0 Mbps,83 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,184 ms,120 Mbps,15462 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,175 ms,36 Mbps,4671 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,197 ms,0 Mbps,81 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,208 ms,70 Mbps,9022 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,211 ms,31 Mbps,3972 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,220 ms,26 Mbps,3393 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,234 ms,1 Mbps,250 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,239 ms,9 Mbps,1184 kB/s
146.56.176.143,443,2602:ffe4:407:20d9:0:e30d:864:1e40,SG,Singapore,隧道,282 ms,38 Mbps,4871 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,203 ms,92 Mbps,11776 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,203 ms,29 Mbps,3822 kB/s
193.122.114.226,443,128.14.110.204,SG,Singapore,隧道,277 ms,32 Mbps,4213 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,210 ms,0 Mbps,5 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,352 ms,0 Mbps,13 kB/s
