中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,3 ms,64 Mbps,8251 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,2 ms,840 Mbps,107520 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,5 ms,63 Mbps,8173 kB/s
35.197.23.75,443,35.212.193.165,US,Seattle,隧道,81 ms,232 Mbps,29696 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,1 ms,1712 Mbps,219136 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,22 ms,832 Mbps,106496 kB/s
35.230.79.26,443,35.212.193.165,US,Seattle,隧道,73 ms,384 Mbps,49152 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,75 ms,95 Mbps,12185 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,97 ms,1 Mbps,179 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,83 ms,270 Mbps,34611 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,93 ms,226 Mbps,28979 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26b:b4,US,Los Angeles,隧道,78 ms,71 Mbps,9153 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,2 ms,1544 Mbps,197632 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,71 ms,408 Mbps,52224 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,80 ms,45 Mbps,5769 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,82 ms,255 Mbps,32665 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,99 ms,289 Mbps,37068 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,72 ms,344 Mbps,44032 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,92 ms,45 Mbps,5828 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,88 ms,42 Mbps,5415 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,105 ms,47 Mbps,6108 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,103 ms,227 Mbps,29081 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,101 ms,288 Mbps,36966 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,97 ms,45 Mbps,5805 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,92 ms,44 Mbps,5635 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,187 ms,73 Mbps,9449 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,175 ms,104 Mbps,13414 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,180 ms,35 Mbps,4537 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,198 ms,41 Mbps,5297 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,178 ms,143 Mbps,18329 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,167 ms,32 Mbps,4141 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,163 ms,3 Mbps,441 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,185 ms,39 Mbps,5005 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,227 ms,104 Mbps,13312 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,234 ms,34 Mbps,4410 kB/s
130.162.144.191,443,2a09:bac1:3f20::22:11c,KR,Seoul,隧道,201 ms,35 Mbps,4548 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,252 ms,3 Mbps,457 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,225 ms,2 Mbps,316 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,216 ms,39 Mbps,5002 kB/s
193.123.80.245,443,193.123.80.245,AE,Marseille,中转,186 ms,27 Mbps,3472 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,1110 ms,80 Mbps,10240 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,1034 ms,10 Mbps,1388 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,194 ms,29 Mbps,3748 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,292 ms,0 Mbps,14 kB/s
