中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,San Diego,中转,28 ms,337 Mbps,43212 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,18 ms,1288 Mbps,164864 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,89 ms,358 Mbps,45875 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,16 ms,788 Mbps,100864 kB/s
35.230.79.26,443,35.212.215.237,US,Seattle,隧道,42 ms,628 Mbps,80486 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,145 ms,141 Mbps,18124 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,39 ms,523 Mbps,66969 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,57 ms,400 Mbps,51302 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,38 ms,629 Mbps,80588 kB/s
35.197.23.75,443,35.212.215.237,US,Seattle,隧道,45 ms,644 Mbps,82432 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,110 ms,158 Mbps,20275 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,59 ms,35 Mbps,4483 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,19 ms,600 Mbps,76902 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,20 ms,60 Mbps,7789 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,74 ms,371 Mbps,47513 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,16 ms,732 Mbps,93798 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,126 ms,224 Mbps,28672 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,27 ms,272 Mbps,34918 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,144 ms,148 Mbps,19046 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,67 ms,46 Mbps,5947 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,128 ms,46 Mbps,6004 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,147 ms,154 Mbps,19763 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,145 ms,140 Mbps,17920 kB/s
130.61.23.77,443,130.61.23.77,46 Mbps,6013 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,141 ms,167 Mbps,21401 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,143 ms,172 Mbps,22118 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,198 ms,3 Mbps,438 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,176 ms,43 Mbps,5604 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,180 ms,4 Mbps,547 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,154 ms,45 Mbps,5857 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,159 ms,136 Mbps,17510 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,152 ms,68 Mbps,8704 kB/s
168.138.149.17,443,168.138.149.17,BR,S
