中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,59 ms,364 Mbps,46694 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,21 ms,1088 Mbps,139264 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,31 ms,788 Mbps,100864 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,69 ms,308 Mbps,39424 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,88 ms,380 Mbps,48640 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,53 ms,494 Mbps,63283 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,56 ms,492 Mbps,62976 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,59 ms,478 Mbps,61235 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,73 ms,480 Mbps,61440 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,15 ms,65 Mbps,8390 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,27 ms,54 Mbps,6984 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,192 Mbps,24678 kB/s
141.144.199.222,443,2a0b:21c0:100a:1b1:0:9656:b696:7119,DE,Frankfurt,隧道,122 ms,198 Mbps,25395 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,45 ms,404 Mbps,51814 kB/s
143.47.189.109,443,2a0b:21c0:1007:1ca:0:dfb0:e5cc:7bc1,DE,Frankfurt,隧道,118 ms,164 Mbps,21094 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,58 ms,404 Mbps,51712 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,28 ms,24 Mbps,3127 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,42 ms,54 Mbps,6995 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,120 ms,192 Mbps,24678 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,163 ms,152 Mbps,19558 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,101 ms,49 Mbps,6338 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,89 ms,420 Mbps,53862 kB/s
158.178.149.159,443,2606:f240:f00:eaf1:0:a376:d091:a423,US,Frankfurt,隧道,126 ms,213 Mbps,27340 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,75 ms,104 Mbps,13312 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,23 ms,80 Mbps,10342 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,48 ms,1 Mbps,218 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,67 ms,333 Mbps,42700 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,110 ms,43 Mbps,5534 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,153 ms,220 Mbps,28160 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,100 ms,205 Mbps,26316 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,55 ms,42 Mbps,5487 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,63 ms,536 Mbps,68710 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,130 ms,40 Mbps,5129 kB/s
47.90.141.204,443,91.149.239.62,US,Los Angeles,隧道,18 ms,21 Mbps,2735 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,111 ms,158 Mbps,20275 kB/s
138.2.144.1,443,2606:f240:f00:46c4:0:7292:7b3a:4b14,US,Frankfurt,隧道,118 ms,217 Mbps,27852 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,228 Mbps,29286 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,189 ms,99 Mbps,12697 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,127 ms,172 Mbps,22016 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,120 ms,33 Mbps,4229 kB/s
144.22.252.124,443,144.22.252.124,BR,S
