中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Chicago,中转,17 ms,748 Mbps,95744 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,6 ms,71 Mbps,9113 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,74 ms,236 Mbps,30208 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,9 ms,785 Mbps,100556 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,379 Mbps,48537 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,67 ms,409 Mbps,52428 kB/s
129.146.7.98,443,2a09:bac5:60eb:1173::1bd:ea,US,Los Angeles,隧道,67 ms,82 Mbps,10547 kB/s
129.146.46.164,443,129.146.46.164,276 Mbps,35328 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,7 ms,76 Mbps,9787 kB/s
35.197.23.75,443,35.212.145.57,US,Seattle,隧道,76 ms,360 Mbps,46080 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,90 ms,226 Mbps,28979 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,377 Mbps,48332 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,74 ms,350 Mbps,44851 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,120 ms,35 Mbps,4506 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,104 ms,44 Mbps,5743 kB/s
35.230.79.26,443,35.212.145.57,US,Seattle,隧道,68 ms,330 Mbps,42291 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,86 ms,223 Mbps,28569 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,240 Mbps,30720 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,95 ms,196 Mbps,25190 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,124 ms,46 Mbps,5980 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,99 ms,260 Mbps,33280 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,96 ms,44 Mbps,5733 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,103 ms,344 Mbps,44032 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,99 ms,244 Mbps,31232 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,95 ms,48 Mbps,6145 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,85 ms,47 Mbps,6114 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,180 ms,144 Mbps,18432 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,110 ms,46 Mbps,5948 kB/s
158.101.217.62,443,2606:f240:f00:83a7:0:a6b2:10fe:568a,US,Frankfurt,隧道,90 ms,234 Mbps,30003 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,171 ms,114 Mbps,14643 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,100 ms,28 Mbps,3707 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,203 ms,100 Mbps,12902 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,210 ms,97 Mbps,12492 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,207 ms,34 Mbps,4396 kB/s
130.162.144.191,443,2a09:bac5:4737:155::22:12b,KR,Seoul,隧道,211 ms,34 Mbps,4442 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,222 ms,74 Mbps,9504 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,192 ms,80 Mbps,10342 kB/s
8.219.62.94,443,47.245.114.12,SG,Singapore,隧道,249 ms,25 Mbps,3211 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,219 ms,39 Mbps,5064 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,207 ms,39 Mbps,5055 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:102,KR,Seoul,隧道,215 ms,72 Mbps,9307 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,207 ms,38 Mbps,4917 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,250 ms,2 Mbps,306 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,233 ms,19 Mbps,2506 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,225 ms,2 Mbps,328 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,211 ms,7 Mbps,957 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,574 ms,10 Mbps,1359 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,233 ms,2 Mbps,341 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,263 ms,45 Mbps,5797 kB/s
129.159.84.71,443,129.159.84.71,US,Newark,中转,141 ms,0 Mbps,64 kB/s
193.123.80.245,443,193.123.80.245,AE,Marseille,中转,218 ms,25 Mbps,3243 kB/s
