中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,12 ms,307 Mbps,39321 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,22 ms,808 Mbps,103424 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,28 ms,1056 Mbps,135168 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,39 ms,772 Mbps,98816 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,22 ms,634 Mbps,81203 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,58 ms,47 Mbps,6025 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,3 ms,459 Mbps,58777 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,38 ms,499 Mbps,63897 kB/s
34.82.76.253,443,35.185.231.63,US,Seattle,隧道,37 ms,608 Mbps,77824 kB/s
35.197.23.75,443,35.212.209.228,US,Seattle,隧道,43 ms,450 Mbps,57651 kB/s
35.230.79.26,443,35.212.209.228,US,Seattle,隧道,42 ms,556 Mbps,71270 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,59 ms,7 Mbps,920 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,71 ms,382 Mbps,48947 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,211 Mbps,27033 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,128 ms,43 Mbps,5581 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,114 ms,42 Mbps,5441 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,140 ms,132 Mbps,16896 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,140 ms,129 Mbps,16588 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,132 ms,41 Mbps,5306 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,150 ms,39 Mbps,5105 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,149 ms,152 Mbps,19456 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,134 ms,48 Mbps,6203 kB/s
8.219.88.129,443,8.219.96.61,SG,Singapore,隧道,189 ms,89 Mbps,11468 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,201 ms,39 Mbps,5012 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,226 ms,47 Mbps,6122 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,138 ms,43 Mbps,5590 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,138 ms,134 Mbps,17203 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,165 ms,0 Mbps,14 kB/s
