中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,5 ms,1440 Mbps,184320 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,5 ms,50 Mbps,6523 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,13 ms,1712 Mbps,219136 kB/s
129.146.7.98,443,2a09:bac5:60e9:183c::26a:db,US,Los Angeles,隧道,63 ms,100 Mbps,12800 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,84 ms,264 Mbps,33894 kB/s
152.70.62.177,443,2606:f240:f00:2be4:0:4470:4e53:53a7,DE,Frankfurt,隧道,90 ms,252 Mbps,32358 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,388 Mbps,49664 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,25 ms,516 Mbps,66150 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,92 ms,50 Mbps,6492 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,76 ms,292 Mbps,37376 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,72 ms,276 Mbps,35430 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,68 ms,349 Mbps,44748 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,105 ms,291 Mbps,37273 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,78 ms,295 Mbps,37785 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,78 ms,196 Mbps,25190 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,99 ms,228 Mbps,29286 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,74 ms,217 Mbps,27852 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,87 ms,46 Mbps,5998 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,64 ms,44 Mbps,5637 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,69 ms,302 Mbps,38707 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,216 Mbps,27750 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,105 ms,38 Mbps,4884 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,183 ms,104 Mbps,13414 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,183 ms,1 Mbps,241 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,177 ms,37 Mbps,4831 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,216 ms,32 Mbps,4180 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,196 ms,31 Mbps,4008 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,199 ms,70 Mbps,8983 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,231 ms,33 Mbps,4237 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,230 ms,2 Mbps,282 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,237 ms,3 Mbps,458 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,1096 ms,334 Mbps,42803 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,296 ms,0 Mbps,12 kB/s
