中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,38 ms,364 Mbps,46694 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,5 ms,904 Mbps,115712 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,23 ms,17 Mbps,2294 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,39 ms,968 Mbps,123904 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,28 ms,960 Mbps,122880 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,26 ms,716 Mbps,91750 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,18 ms,912 Mbps,116736 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,27 ms,896 Mbps,114688 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,39 ms,39 Mbps,5018 kB/s
129.146.7.98,443,2a09:bac5:60ed:1173::1bd:f8,80 Mbps,10240 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,46 ms,658 Mbps,84275 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,157 ms,138 Mbps,17715 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,13 ms,377 Mbps,48332 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,154 ms,112 Mbps,14438 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,68 ms,324 Mbps,41472 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,70 ms,445 Mbps,57036 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,161 ms,105 Mbps,13516 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,162 ms,34 Mbps,4373 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,76 ms,44 Mbps,5644 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,9 ms,1504 Mbps,192512 kB/s
141.148.227.212,443,2606:f240:f00:dd8d:0:78c4:2e45:ce96,US,Frankfurt,隧道,161 ms,107 Mbps,13721 kB/s
130.162.144.191,443,2a09:bac5:4755:1a14::299:2e,KR,Seoul,隧道,144 ms,37 Mbps,4811 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,158 ms,126 Mbps,16179 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,81 ms,48 Mbps,6204 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,126 ms,200 Mbps,25600 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,75 ms,48 Mbps,6263 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,138 ms,122 Mbps,15667 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,168 ms,97 Mbps,12492 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,145 ms,41 Mbps,5266 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,163 ms,1 Mbps,137 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,81 ms,1 Mbps,193 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,176 ms,99 Mbps,12697 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,147 ms,28 Mbps,3603 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,174 ms,132 Mbps,16896 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,153 ms,20 Mbps,2678 kB/s
