中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,352 Mbps,45056 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,38 ms,604 Mbps,77312 kB/s
34.82.76.253,443,34.169.18.214,US,Seattle,隧道,83 ms,336 Mbps,43110 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,87 ms,8 Mbps,1151 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,100 ms,224 Mbps,28672 kB/s
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,18 ms,8 Mbps,1131 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,97 ms,296 Mbps,37888 kB/s
150.230.113.136,443,98.98.166.178,US,Frankfurt,隧道,114 ms,212 Mbps,27136 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,16 ms,0 Mbps,126 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,22 ms,56 Mbps,7295 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,71 ms,24 Mbps,3121 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,119 ms,264 Mbps,33894 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,115 ms,308 Mbps,39424 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,44 ms,470 Mbps,60211 kB/s
35.230.79.26,443,35.212.152.186,US,Seattle,隧道,72 ms,364 Mbps,46592 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,74 ms,255 Mbps,32665 kB/s
35.197.23.75,443,35.212.152.186,US,Seattle,隧道,77 ms,352 Mbps,45158 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,28 ms,69 Mbps,8869 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,41 Mbps,5279 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,121 ms,228 Mbps,29184 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,108 ms,50 Mbps,6436 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,79 ms,259 Mbps,33177 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,101 ms,260 Mbps,33382 kB/s
130.61.23.77,443,130.61.23.77,110 Mbps,14131 kB/s
144.21.56.205,443,2606:f240:f00:83a7:0:614a:ca2a:af4c,US,Frankfurt,隧道,123 ms,210 Mbps,26931 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,126 ms,224 Mbps,28672 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,158 ms,112 Mbps,14336 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,80 ms,376 Mbps,48128 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,90 ms,45 Mbps,5853 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,76 ms,313 Mbps,40140 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,57 ms,66 Mbps,8448 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,34 ms,62 Mbps,8018 kB/s
144.21.41.185,443,2a0b:21c0:100a:1b5:0:90fb:b93e:4492,DE,Frankfurt,隧道,103 ms,257 Mbps,32972 kB/s
141.148.233.183,443,2a0b:21c0:100a:1b1:0:4069:72f6:4173,DE,Frankfurt,隧道,106 ms,220 Mbps,28262 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,66 ms,286 Mbps,36659 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,202 ms,97 Mbps,12492 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,111 ms,38 Mbps,4972 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,92 ms,39 Mbps,5034 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,102 ms,68 Mbps,8781 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,83 ms,281 Mbps,36044 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,96 ms,45 Mbps,5841 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,199 ms,40 Mbps,5182 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,102 ms,210 Mbps,26931 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,179 ms,15 Mbps,2036 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,117 ms,26 Mbps,3405 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,123 ms,24 Mbps,3117 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,124 ms,29 Mbps,3771 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,194 ms,36 Mbps,4685 kB/s
168.138.149.17,443,168.138.149.17,BR,S
