中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.152.202,US,Seattle,隧道,80 ms,332 Mbps,42496 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,73 ms,281 Mbps,36044 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,206 Mbps,26419 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,38 ms,556 Mbps,71168 kB/s
3.144.191.4,443,3.144.191.4,US,Ashburn,中转,25 ms,603 Mbps,77209 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,72 ms,360 Mbps,46182 kB/s
152.70.214.15,443,2603:c021:c000:ba8c:5a47:c0e5:b682:31cb,BR,S
