中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,832 Mbps,106496 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,16 ms,1016 Mbps,130048 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,380 Mbps,48742 kB/s
34.82.76.253,443,34.182.31.213,US,Seattle,隧道,28 ms,727 Mbps,93081 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,19 ms,674 Mbps,86323 kB/s
35.230.79.26,443,35.212.184.110,US,Seattle,隧道,28 ms,699 Mbps,89497 kB/s
35.197.23.75,443,35.212.184.110,US,Seattle,隧道,48 ms,616 Mbps,78848 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,78 ms,312 Mbps,40038 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,188 Mbps,24166 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,101 ms,1 Mbps,255 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,114 ms,41 Mbps,5337 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,117 ms,39 Mbps,5081 kB/s
141.144.201.185,443,163.123.193.10,DE,Frankfurt,隧道,163 ms,131 Mbps,16793 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,162 ms,15 Mbps,1960 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,124 ms,48 Mbps,6178 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,131 ms,45 Mbps,5865 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,156 ms,44 Mbps,5672 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,165 ms,124 Mbps,15872 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,162 ms,146 Mbps,18739 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,159 ms,120 Mbps,15360 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,191 ms,46 Mbps,5915 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,165 ms,41 Mbps,5344 kB/s
