中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.138.241,443,192.9.138.241,US,San Jose,中转,61 ms,422 Mbps,54067 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,22 ms,1024 Mbps,131072 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,55 ms,358 Mbps,45875 kB/s
35.230.79.26,443,35.212.224.237,US,Seattle,隧道,52 ms,501 Mbps,64204 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,20 ms,533 Mbps,68300 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,64 ms,46 Mbps,5979 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,27 ms,5 Mbps,719 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,56 ms,416 Mbps,53248 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,16 ms,800 Mbps,102400 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,57 ms,454 Mbps,58163 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,107 ms,52 Mbps,6658 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,69 ms,489 Mbps,62668 kB/s
35.197.23.75,443,35.212.224.237,US,Seattle,隧道,50 ms,512 Mbps,65638 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,81 ms,519 Mbps,66457 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,109 Mbps,14028 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,20 ms,83 Mbps,10649 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,52 ms,1 Mbps,184 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,100 ms,419 Mbps,53657 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,77 ms,255 Mbps,32665 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,50 ms,496 Mbps,63590 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,40 ms,26 Mbps,3379 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,56 ms,49 Mbps,6319 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,118 ms,51 Mbps,6538 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,59 ms,40 Mbps,5204 kB/s
154.23.240.232,443,154.23.240.232,US,Los Angeles,中转,59 ms,40 Mbps,5206 kB/s
47.253.129.190,443,47.253.129.190,US,Ashburn,中转,27 ms,26 Mbps,3356 kB/s
132.226.31.178,443,104.28.237.111,US,Los Angeles,隧道,57 ms,43 Mbps,5568 kB/s
141.147.73.148,443,141.147.73.148,GB,London,中转,102 ms,327 Mbps,41881 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,129 ms,197 Mbps,25292 kB/s
141.148.243.63,443,2a0b:21c0:1007:c8:0:8ef2:e3cc:260e,DE,Frankfurt,隧道,135 ms,124 Mbps,15974 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,118 ms,179 Mbps,22937 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,43 ms,56 Mbps,7255 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,117 ms,194 Mbps,24883 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,105 ms,208 Mbps,26624 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,70 ms,1 Mbps,222 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,112 ms,237 Mbps,30412 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,121 ms,176 Mbps,22630 kB/s
144.21.62.141,443,2a0b:21c0:1007:1ca:0:fab8:1157:2d85,DE,Frankfurt,隧道,115 ms,129 Mbps,16588 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,120 ms,46 Mbps,5931 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,228 ms,2 Mbps,301 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,204 ms,124 Mbps,15872 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,170 ms,102 Mbps,13107 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,187 ms,105 Mbps,13516 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,117 ms,42 Mbps,5424 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,117 ms,35 Mbps,4492 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,86 ms,467 Mbps,59801 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,174 ms,35 Mbps,4539 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,177 ms,134 Mbps,17203 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,223 ms,4 Mbps,514 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,180 ms,38 Mbps,4955 kB/s
193.122.104.244,443,107.151.176.166,US,Los Angeles,隧道,211 ms,77 Mbps,9956 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,119 ms,47 Mbps,6083 kB/s
193.122.101.195,443,193.122.101.195,KR,Seoul,中转,220 ms,71 Mbps,9096 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,183 ms,39 Mbps,5034 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,253 ms,20 Mbps,2605 kB/s
130.162.135.233,443,2607:a400:a:6c:0:4338:5287:1235,US,Los Angeles,隧道,267 ms,69 Mbps,8844 kB/s
64.110.66.180,443,107.151.176.202,US,Los Angeles,隧道,229 ms,83 Mbps,10649 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,139 ms,50 Mbps,6436 kB/s
8.213.237.199,443,8.213.237.199,TH,Bangkok,中转,244 ms,60 Mbps,7696 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,139 ms,48 Mbps,6224 kB/s
143.47.240.223,443,2a0b:21c0:1007:1ca:0:924b:952a:5da5,DE,Frankfurt,隧道,115 ms,152 Mbps,19456 kB/s
132.226.226.56,443,2607:a400:a:16b:0:a4c:3a2e:4a20,US,Los Angeles,隧道,237 ms,58 Mbps,7528 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,221 ms,34 Mbps,4415 kB/s
141.147.72.42,443,2606:f240:f00:a683:0:c883:53ad:764e,US,Frankfurt,隧道,112 ms,200 Mbps,25600 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,252 ms,57 Mbps,7303 kB/s
193.122.99.160,443,2607:a400:a:6b:0:9d0c:a97d:2565,US,Los Angeles,隧道,209 ms,72 Mbps,9309 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,187 ms,8 Mbps,1066 kB/s
8.219.118.152,443,47.236.51.143,SG,Singapore,隧道,258 ms,48 Mbps,6218 kB/s
146.56.39.157,443,2607:a400:a:16b:0:b777:8c2b:c5e4,US,Los Angeles,隧道,210 ms,75 Mbps,9695 kB/s
8.222.192.216,443,47.245.125.52,SG,Singapore,隧道,306 ms,48 Mbps,6156 kB/s
146.56.134.94,443,2607:a400:a:16b:0:9941:a49c:98d0,US,Los Angeles,隧道,237 ms,44 Mbps,5720 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,159 ms,124 Mbps,15974 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,225 ms,66 Mbps,8479 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,236 ms,84 Mbps,10854 kB/s
8.219.218.214,443,47.245.84.175,SG,Singapore,隧道,258 ms,53 Mbps,6835 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,292 ms,31 Mbps,4085 kB/s
152.70.251.80,443,2607:a400:a:6c:0:8fce:12cf:1248,US,Los Angeles,隧道,246 ms,60 Mbps,7733 kB/s
193.122.120.61,443,107.151.176.166,US,Los Angeles,隧道,244 ms,59 Mbps,7555 kB/s
152.70.237.22,443,107.151.176.66,US,Los Angeles,隧道,232 ms,76 Mbps,9818 kB/s
140.238.20.223,443,2607:a400:a:6b:0:d185:310b:6215,US,Los Angeles,隧道,207 ms,76 Mbps,9817 kB/s
8.212.48.236,443,47.76.21.97,HK,Hong Kong,隧道,234 ms,70 Mbps,9080 kB/s
