中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,217 ms,35 Mbps,4527 kB/s,4527.0
141.147.154.214,443,141.147.154.214,JP,Osaka,中转,256 ms,34 Mbps,4383 kB/s,4383.0
140.238.5.32,443,140.238.5.32,KR,Seoul,中转,214 ms,34 Mbps,4372 kB/s,4372.0
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,230 ms,33 Mbps,4279 kB/s,4279.0
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,266 ms,32 Mbps,4167 kB/s,4167.0
141.147.185.63,443,141.147.185.63,JP,Tokyo,中转,242 ms,32 Mbps,4161 kB/s,4161.0
158.178.238.239,443,104.28.222.43,SG,Singapore,隧道,265 ms,30 Mbps,3966 kB/s,3966.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,254 ms,29 Mbps,3827 kB/s,3827.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,238 ms,28 Mbps,3599 kB/s,3599.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,243 ms,24 Mbps,3127 kB/s,3127.0
141.148.220.141,443,2a09:bac5:3af9:1aa0::2a7:9a,IN,Mumbai,隧道,236 ms,23 Mbps,3048 kB/s,3048.0
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,259 ms,23 Mbps,2947 kB/s,2947.0
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,216 ms,23 Mbps,2946 kB/s,2946.0
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,59 ms,20 Mbps,2578 kB/s,2578.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,222 ms,14 Mbps,1812 kB/s,1812.0
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,229 ms,11 Mbps,1530 kB/s,1530.0
8.219.72.167,443,8.219.72.167,SG,Singapore,中转,238 ms,9 Mbps,1219 kB/s,1219.0
8.218.73.41,443,8.218.73.41,HK,Hong Kong,中转,222 ms,9 Mbps,1194 kB/s,1194.0
8.210.82.2,443,8.210.82.2,HK,Hong Kong,中转,257 ms,9 Mbps,1166 kB/s,1166.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,10 ms,7 Mbps,966 kB/s,966.0
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,40 ms,6 Mbps,813 kB/s,813.0
8.210.69.31,443,8.210.69.31,HK,Hong Kong,中转,239 ms,5 Mbps,737 kB/s,737.0
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,241 ms,4 Mbps,514 kB/s,514.0
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,253 ms,3 Mbps,494 kB/s,494.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,250 ms,2 Mbps,285 kB/s,285.0
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,94 ms,1 Mbps,224 kB/s,224.0
47.89.244.253,443,47.89.244.253,US,San Jose,中转,80 ms,1 Mbps,139 kB/s,139.0
8.222.79.51,443,8.216.92.214,JP,Tokyo,隧道,248 ms,0 Mbps,127 kB/s,127.0
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,229 ms,0 Mbps,83 kB/s,83.0
8.222.77.152,443,8.216.92.214,JP,Tokyo,隧道,260 ms,0 Mbps,80 kB/s,80.0
47.254.65.110,443,47.254.65.110,US,San Jose,中转,98 ms,0 Mbps,59 kB/s,59.0
8.217.150.87,443,8.217.150.87,HK,Hong Kong,中转,250 ms,0 Mbps,33 kB/s,33.0
8.210.58.6,443,8.210.58.6,HK,Hong Kong,中转,235 ms,0 Mbps,12 kB/s,12.0
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,239 ms,0 Mbps,9 kB/s,9.0
