中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,19 ms,1216 Mbps,155648 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,22 ms,563 Mbps,72089 kB/s
129.146.46.164,443,129.146.46.164,307 Mbps,39321 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,16 ms,840 Mbps,107520 kB/s
35.230.79.26,443,35.212.215.237,US,Seattle,隧道,56 ms,580 Mbps,74342 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,112 ms,238 Mbps,30515 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26b:d3,US,Los Angeles,隧道,20 ms,75 Mbps,9646 kB/s
35.197.23.75,443,35.212.215.237,US,Seattle,隧道,43 ms,605 Mbps,77516 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,54 ms,503 Mbps,64409 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,46 ms,556 Mbps,71168 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,61 ms,412 Mbps,52838 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,139 ms,44 Mbps,5725 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,23 ms,808 Mbps,103424 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,60 ms,47 Mbps,6123 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,75 ms,170 Mbps,21811 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,513 Mbps,65740 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,18 ms,52 Mbps,6758 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,146 ms,122 Mbps,15667 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,35 ms,316 Mbps,40550 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,67 ms,56 Mbps,7269 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,146 ms,132 Mbps,16998 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,68 ms,1 Mbps,194 kB/s
193.123.61.156,443,2a0b:21c0:100a:1b7:0:4587:2b05:2302,DE,Frankfurt,隧道,144 ms,147 Mbps,18841 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,153 ms,167 Mbps,21401 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,153 ms,4 Mbps,613 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,152 ms,164 Mbps,21094 kB/s
130.61.23.77,443,130.61.23.77,91 Mbps,11673 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,152 ms,116 Mbps,14848 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,167 ms,46 Mbps,5959 kB/s
158.101.221.74,443,2a0b:21c0:1007:cb:0:159:cab9:c639,DE,Frankfurt,隧道,144 ms,147 Mbps,18841 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,185 ms,3 Mbps,452 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,193 ms,147 Mbps,18841 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,164 ms,129 Mbps,16588 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,166 ms,46 Mbps,5969 kB/s
150.230.63.93,443,150.230.63.93,,Osaka,中转,0 ms,41 Mbps,5311 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,141 ms,47 Mbps,6118 kB/s
193.123.38.223,443,2a0b:21c0:1007:1c7:0:4e2d:bf43:ad16,DE,Frankfurt,隧道,162 ms,132 Mbps,16896 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,111 ms,142 Mbps,18227 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,163 ms,119 Mbps,15257 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,163 ms,9 Mbps,1155 kB/s
168.138.149.17,443,168.138.149.17,BR,S
