中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,20 ms,768 Mbps,98304 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,2 ms,7 Mbps,968 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,58 ms,363 Mbps,46489 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,360 Mbps,46182 kB/s
34.82.76.253,443,34.83.12.158,US,Seattle,隧道,70 ms,384 Mbps,49152 kB/s
35.197.23.75,443,35.212.173.121,US,Seattle,隧道,74 ms,408 Mbps,52224 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,245 Mbps,31436 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,77 ms,346 Mbps,44339 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,75 ms,382 Mbps,48947 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,73 ms,352 Mbps,45158 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,70 ms,277 Mbps,35532 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,95 ms,45 Mbps,5810 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,229 Mbps,29388 kB/s
35.230.79.26,443,35.212.173.121,US,Seattle,隧道,75 ms,369 Mbps,47308 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,325 Mbps,41676 kB/s
152.70.62.177,443,163.123.193.24,DE,Frankfurt,隧道,102 ms,227 Mbps,29081 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,106 ms,228 Mbps,29184 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,115 ms,48 Mbps,6262 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,174 ms,43 Mbps,5588 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,178 ms,42 Mbps,5447 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,196 ms,16 Mbps,2099 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,168 ms,128 Mbps,16384 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,176 ms,41 Mbps,5359 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,306 ms,1 Mbps,236 kB/s
